product_id,name,specification,category,official_match_status,image_url,image_rights_status,queue_reasons,priority,source_order
20250812_104725,챔프콜드펜하이시럽,10P,키즈,confirmed,,미확인,image_missing,3,98
20250812_104736,챔프콜드펜하이시럽,10P,키즈,confirmed,,미확인,image_missing,3,102
20250812_104759,모드콜콜드시럽,5P,호흡기,confirmed,,미확인,image_missing,3,105
20250812_104856,나프졸크림,30g,호흡기,confirmed,,미확인,image_missing,3,106
20250812_105007,바디드란트액,30ml,기타,confirmed,,,image_missing,3,115
20250812_105631,식물성 멜라토닌 멜레븐 하모니,60T,수면,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,118
20250812_105730,카무트 브랜드 밀,30포,기타,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,120
20250812_105744,산양유단백분말,500G,기타,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,121
20250812_105810,녹십자 하루케어 멀티비타민V,30정,영양제,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,125
20250812_105836,홍삼진스틱,100p,기타,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,128
20250812_105841,하루케어칼마디,30T,영양제,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,129
20250812_105906,녹용침향환,30환,기타,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,131
20250812_110019,알부스,80C,영양제,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,141
20250812_110120,어린리즈저분자콜라겐,30P,피부,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,144
20250812_110124,비오틴어린콜라겐,60P,피부,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,145
20250812_110141,그린프로폴리스40,120C,영양제,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,148
20250812_110155,코큐텐 아연 셀렌 프리미엄,60캡슐×2개입,영양제,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,151
20250812_110224,동성허브칼라2호,1box,기타,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,154
20250812_110232,창포휴허브,1box,기타,not_applicable,,미확인,image_missing;non_medicine_official_source_pending,3,155
